aer,thKO,subs,target,KOs,dh,YPS,SSP,SOC
FALSE,TRUE,EX_glc(e),EX_etoh(e), GLYK PFL TPI,PGCDswap,1.8306,0.42057,0.009961
FALSE,TRUE,EX_glc(e),EX_etoh(e), GLYK PFL TPI,SHK3Drswap,1.8306,0.42057,0.009961
FALSE,TRUE,EX_glc(e),EX_etoh(e), PFK PFL TPI,no swap,1.8306,0.42043,0.0099576
FALSE,TRUE,EX_glc(e),EX_etoh(e), PFK PFL TPI,3OAR100swap,1.8306,0.42043,0.0099576
FALSE,TRUE,EX_glc(e),EX_etoh(e), PFK PFL TPI,3OAR40swap,1.8306,0.42043,0.0099576
FALSE,TRUE,EX_glc(e),EX_etoh(e), PFK PFL TPI,3OAR60swap,1.8306,0.42043,0.0099576
FALSE,TRUE,EX_glc(e),EX_etoh(e), PFK PFL TPI,3OAR80swap,1.8306,0.42043,0.0099576
FALSE,TRUE,EX_glc(e),EX_etoh(e), PFK PFL TPI,AGPRswap,1.8306,0.42043,0.0099576
FALSE,TRUE,EX_glc(e),EX_etoh(e), PFK PFL TPI,AKGDHswap,1.8306,0.42043,0.0099576
FALSE,TRUE,EX_glc(e),EX_etoh(e), PFK PFL TPI,ASADswap,1.8306,0.42043,0.0099576
FALSE,TRUE,EX_glc(e),EX_etoh(e), PFK PFL TPI,DHDPRyswap,1.8306,0.42043,0.0099576
FALSE,TRUE,EX_glc(e),EX_etoh(e), PFK PFL TPI,EAR40xswap,1.8306,0.42043,0.0099576
FALSE,TRUE,EX_glc(e),EX_etoh(e), PFK PFL TPI,EAR60xswap,1.8306,0.42043,0.0099576
FALSE,TRUE,EX_glc(e),EX_etoh(e), PFK PFL TPI,EAR80xswap,1.8306,0.42043,0.0099576
FALSE,TRUE,EX_glc(e),EX_etoh(e), PFK PFL TPI,G6PDH2rswap,1.8292,0.3599,0.008524
FALSE,TRUE,EX_glc(e),EX_etoh(e), PFK PFL TPI,GAPDswap,1.8306,0.42043,0.0099576
FALSE,TRUE,EX_glc(e),EX_etoh(e), PFK PFL TPI,GLUDyswap,1.8306,0.42043,0.0099576
FALSE,TRUE,EX_glc(e),EX_etoh(e), PFK PFL TPI,GNDswap,1.8306,0.42043,0.0099576
FALSE,TRUE,EX_glc(e),EX_etoh(e), PFK PFL TPI,GTHOrswap,1.8306,0.42043,0.0099576
FALSE,TRUE,EX_glc(e),EX_etoh(e), PFK PFL TPI,HSDyswap,1.8306,0.42043,0.0099576
FALSE,TRUE,EX_glc(e),EX_etoh(e), PFK PFL TPI,ICDHyrswap,1.8306,0.42043,0.0099576
FALSE,TRUE,EX_glc(e),EX_etoh(e), PFK PFL TPI,IPMDswap,1.8306,0.42043,0.0099576
FALSE,TRUE,EX_glc(e),EX_etoh(e), PFK PFL TPI,KARA1swap,1.8306,0.42043,0.0099576
FALSE,TRUE,EX_glc(e),EX_etoh(e), PFK PFL TPI,KARA2swap,1.8306,0.42043,0.0099576
FALSE,TRUE,EX_glc(e),EX_etoh(e), PFK PFL TPI,MDHswap,1.8306,0.42043,0.0099576
FALSE,TRUE,EX_glc(e),EX_etoh(e), PFK PFL TPI,MTHFDswap,1.8306,0.42043,0.0099576
FALSE,TRUE,EX_glc(e),EX_etoh(e), PFK PFL TPI,NADH17ppswap,1.8306,0.42043,0.0099576
FALSE,TRUE,EX_glc(e),EX_etoh(e), PFK PFL TPI,PDHswap,1.8306,0.42043,0.0099576
FALSE,TRUE,EX_glc(e),EX_etoh(e), PFK PFL TPI,PGCDswap,1.8306,0.42043,0.0099576
FALSE,TRUE,EX_glc(e),EX_etoh(e), PFK PFL TPI,SHK3Drswap,1.8306,0.42043,0.0099576
FALSE,TRUE,EX_glc(e),EX_etoh(e), GLUDy PFL TPI,no swap,1.8447,0.38854,0.0092023
FALSE,TRUE,EX_glc(e),EX_etoh(e), GLUDy PFL TPI,3OAR100swap,1.8447,0.38854,0.0092023
FALSE,TRUE,EX_glc(e),EX_etoh(e), GLUDy PFL TPI,3OAR40swap,1.8447,0.38854,0.0092023
FALSE,TRUE,EX_glc(e),EX_etoh(e), GLUDy PFL TPI,3OAR60swap,1.8447,0.38854,0.0092023
FALSE,TRUE,EX_glc(e),EX_etoh(e), GLUDy PFL TPI,3OAR80swap,1.8447,0.38854,0.0092023
FALSE,TRUE,EX_glc(e),EX_etoh(e), GLUDy PFL TPI,AGPRswap,1.8447,0.38854,0.0092023
FALSE,TRUE,EX_glc(e),EX_etoh(e), GLUDy PFL TPI,AKGDHswap,1.8447,0.38854,0.0092023
FALSE,TRUE,EX_glc(e),EX_etoh(e), GLUDy PFL TPI,ASADswap,1.8447,0.38854,0.0092023
FALSE,TRUE,EX_glc(e),EX_etoh(e), GLUDy PFL TPI,DHDPRyswap,1.8447,0.38854,0.0092023
FALSE,TRUE,EX_glc(e),EX_etoh(e), GLUDy PFL TPI,EAR40xswap,1.8447,0.38854,0.0092023
FALSE,TRUE,EX_glc(e),EX_etoh(e), GLUDy PFL TPI,EAR60xswap,1.8447,0.38854,0.0092023
FALSE,TRUE,EX_glc(e),EX_etoh(e), GLUDy PFL TPI,EAR80xswap,1.8447,0.38854,0.0092023
FALSE,TRUE,EX_glc(e),EX_etoh(e), GLUDy PFL TPI,G6PDH2rswap,1.8408,0.33756,0.0079948
FALSE,TRUE,EX_glc(e),EX_etoh(e), GLUDy PFL TPI,GAPDswap,1.8447,0.38854,0.0092023
FALSE,TRUE,EX_glc(e),EX_etoh(e), GLUDy PFL TPI,GLUDyswap,1.8306,0.42057,0.009961
FALSE,TRUE,EX_glc(e),EX_etoh(e), GLUDy PFL TPI,GNDswap,1.8447,0.38854,0.0092023
FALSE,TRUE,EX_glc(e),EX_etoh(e), GLUDy PFL TPI,GTHOrswap,1.8447,0.38854,0.0092023
FALSE,TRUE,EX_glc(e),EX_etoh(e), GLUDy PFL TPI,HSDyswap,1.8447,0.38854,0.0092023
FALSE,TRUE,EX_glc(e),EX_etoh(e), GLUDy PFL TPI,ICDHyrswap,1.8447,0.38854,0.0092023
FALSE,TRUE,EX_glc(e),EX_etoh(e), GLUDy PFL TPI,IPMDswap,1.8447,0.38854,0.0092023
FALSE,TRUE,EX_glc(e),EX_etoh(e), GLUDy PFL TPI,KARA1swap,1.8447,0.38854,0.0092023
FALSE,TRUE,EX_glc(e),EX_etoh(e), GLUDy PFL TPI,KARA2swap,1.8447,0.38854,0.0092023
FALSE,TRUE,EX_glc(e),EX_etoh(e), GLUDy PFL TPI,MDHswap,1.8447,0.38854,0.0092023
FALSE,TRUE,EX_glc(e),EX_etoh(e), GLUDy PFL TPI,MTHFDswap,1.8447,0.38854,0.0092023
FALSE,TRUE,EX_glc(e),EX_etoh(e), GLUDy PFL TPI,NADH17ppswap,1.8447,0.38854,0.0092023
FALSE,TRUE,EX_glc(e),EX_etoh(e), GLUDy PFL TPI,PDHswap,1.8447,0.38854,0.0092023
FALSE,TRUE,EX_glc(e),EX_etoh(e), GLUDy PFL TPI,PGCDswap,1.8447,0.38854,0.0092023
FALSE,TRUE,EX_glc(e),EX_etoh(e), GLUDy PFL TPI,SHK3Drswap,1.8447,0.38854,0.0092023
