id	name	metabolites	lower_bound	upper_bound	gene_reaction_rule	subsystem	notes	annotation	objective_coefficient
EX_glc__D_e	D-Glucose exchange	{'glc__D_e': -1.0}	-10.0	1000.0		Extracellular exchange	{'original_bigg_ids': ['EX_glc_e']}	{'bigg.reaction': ['EX_glc__D_e'], 'biocyc': ['META:TRANS-RXN0-574'], 'metanetx.reaction': ['MNXR100188'], 'sabiork': ['7002', '601'], 'sbo': 'SBO:0000627', 'seed.reaction': ['rxn09875', 'rxn09679', 'rxn08617']}	
EX_gln__L_e	L-Glutamine exchange	{'gln__L_e': -1.0}	0.0	1000.0		Extracellular exchange	{'original_bigg_ids': ['EX_gln_L_e']}	{'bigg.reaction': ['EX_gln__L_e'], 'biocyc': ['META:TRANS-RXN-233'], 'metanetx.reaction': ['MNXR100259'], 'reactome.reaction': ['R-HSA-212651', 'R-BTA-212614', 'R-RNO-212614', 'R-SSC-212614', 'R-MMU-212614', 'R-HSA-212614', 'R-GGA-212614', 'R-CFA-212614', 'R-TGU-212614', 'R-SCE-212614'], 'sabiork': ['13421'], 'sbo': 'SBO:0000627', 'seed.reaction': ['rxn08625', 'rxn10928']}	
EX_glu__L_e	L-Glutamate exchange	{'glu__L_e': -1.0}	0.0	1000.0		Extracellular exchange	{'original_bigg_ids': ['EX_glu_L_e']}	{'bigg.reaction': ['EX_glu__L_e'], 'biocyc': ['META:TRANS-RXN-234', 'META:TRANS-RXN-232'], 'metanetx.reaction': ['MNXR100301'], 'reactome.reaction': ['R-HSA-212658', 'R-TGU-210439', 'R-GGA-210439', 'R-XTR-210439', 'R-RNO-210439', 'R-CFA-210439', 'R-CEL-210439', 'R-DME-210439', 'R-SSC-210439', 'R-HSA-210439', 'R-DRE-210439', 'R-MMU-210439', 'R-BTA-210439'], 'sabiork': ['12283'], 'sbo': 'SBO:0000627', 'seed.reaction': ['rxn08633', 'rxn09750', 'rxn13304', 'rxn13120', 'rxn10917']}	
EX_h_e	H+ exchange	{'h_e': -1.0}	-1000.0	1000.0		Extracellular exchange	{'original_bigg_ids': ['EX_h_e']}	{'bigg.reaction': ['EX_h_e'], 'biocyc': ['META:RXN-14452'], 'metanetx.reaction': ['MNXR100765'], 'reactome.reaction': ['R-HSA-2534378', 'R-DDI-74723', 'R-BTA-170026', 'R-CFA-170026', 'R-SCE-74723', 'R-DRE-74723', 'R-HSA-170026', 'R-TGU-2534378', 'R-HSA-74723', 'R-CFA-2534378', 'R-TGU-74723', 'R-OSA-170026', 'R-RNO-2534378', 'R-GGA-2534378', 'R-MMU-2534378', 'R-BTA-2534378', 'R-SSC-2534378', 'R-DRE-170026', 'R-TGU-170026', 'R-GGA-170026', 'R-SCE-170026', 'R-DRE-2534378', 'R-BTA-74723', 'R-SPO-74723', 'R-XTR-74723', 'R-RNO-74723', 'R-XTR-2534378', 'R-MMU-74723', 'R-CFA-74723', 'R-GGA-74723', 'R-CEL-170026', 'R-MMU-170026', 'R-ATH-74723', 'R-DME-74723', 'R-PFA-74723', 'R-SSC-74723', 'R-XTR-170026', 'R-SSC-170026', 'R-CEL-74723', 'R-ATH-170026', 'R-RNO-170026', 'R-DME-170026'], 'rhea': ['34980', '34981', '34982', '34979'], 'sbo': 'SBO:0000627', 'seed.reaction': ['rxn11009', 'rxn08730']}	
EX_h2o_e	H2O exchange	{'h2o_e': -1.0}	-1000.0	1000.0		Extracellular exchange	{'original_bigg_ids': ['EX_h2o_e']}	{'bigg.reaction': ['EX_h2o_e'], 'biocyc': ['META:TRANS-RXN-145', 'META:TRANS-RXN0-547'], 'metanetx.reaction': ['MNXR98641'], 'reactome.reaction': ['R-ATH-507868', 'R-CFA-432054', 'R-CFA-432010', 'R-RNO-507868', 'R-OSA-432065', 'R-GGA-432010', 'R-SPO-445714', 'R-PFA-445714', 'R-CFA-432065', 'R-GGA-432067', 'R-TGU-432054', 'R-TGU-445714', 'R-OSA-507868', 'R-DRE-507868', 'R-SPO-507868', 'R-BTA-432054', 'R-GGA-507870', 'R-OSA-432010', 'R-DME-432065', 'R-DRE-432067', 'R-PFA-507868', 'R-SSC-432054', 'R-HSA-432065', 'R-OSA-507870', 'R-HSA-432054', 'R-SSC-432065', 'R-CEL-507868', 'R-XTR-507868', 'R-ATH-507870', 'R-SCE-432065', 'R-BTA-507870', 'R-DME-432010', 'R-CFA-445714', 'R-DRE-445714', 'R-BTA-507868', 'R-GGA-507868', 'R-RNO-432054', 'R-RNO-432010', 'R-SSC-432067', 'R-CEL-445714', 'R-DDI-432065', 'R-ATH-432010', 'R-SCE-432054', 'R-MMU-432065', 'R-MMU-445714', 'R-GGA-432065', 'R-HSA-432067', 'R-SSC-507870', 'R-SCE-432067', 'R-RNO-507870', 'R-DME-432054', 'R-ATH-432067', 'R-BTA-445714', 'R-DRE-507870', 'R-DME-507868', 'R-DME-507870', 'R-DRE-432010', 'R-MMU-432010', 'R-HSA-445714', 'R-OSA-432054', 'R-RNO-432067', 'R-TGU-432010', 'R-TGU-507868', 'R-DDI-432054', 'R-PFA-507870', 'R-HSA-507870', 'R-XTR-432067', 'R-HSA-432010', 'R-SSC-507868', 'R-SCE-507870', 'R-CEL-507870', 'R-DDI-507868', 'R-DRE-432054', 'R-XTR-507870', 'R-DDI-432010', 'R-BTA-432065', 'R-CFA-432067', 'R-OSA-432067', 'R-ATH-432065', 'R-GGA-445714', 'R-SCE-507868', 'R-TGU-432065', 'R-MMU-432067', 'R-TGU-507870', 'R-CFA-507870', 'R-RNO-432065', 'R-MMU-432054', 'R-MMU-507868', 'R-SPO-507870', 'R-SCE-432010', 'R-MMU-507870', 'R-SSC-445714', 'R-HSA-507868', 'R-DME-432067', 'R-SSC-432010', 'R-TGU-432067', 'R-GGA-432054', 'R-BTA-432010', 'R-SCE-445714', 'R-DDI-507870', 'R-ATH-432054', 'R-DDI-432067', 'R-XTR-445714', 'R-BTA-432067', 'R-CFA-507868', 'R-RNO-445714'], 'rhea': ['29668', '29669', '29667', '29670'], 'sbo': 'SBO:0000627', 'seed.reaction': ['rxn08687', 'rxn08686', 'rxn09745', 'rxn09838', 'rxn09874', 'rxn09812', 'rxn09643', 'rxn05319']}	
EX_lac__D_e	D-lactate exchange	{'lac__D_e': -1.0}	0.0	1000.0		Extracellular exchange	{'original_bigg_ids': ['EX_lac_D_e']}	{'bigg.reaction': ['EX_lac__D_e'], 'metanetx.reaction': ['MNXR97840'], 'sabiork': ['12471'], 'sbo': 'SBO:0000627', 'seed.reaction': ['rxn08351']}	
EX_mal__L_e	L-Malate exchange	{'mal__L_e': -1.0}	0.0	1000.0		Extracellular exchange	{'original_bigg_ids': ['EX_mal_L_e']}	{'bigg.reaction': ['EX_mal__L_e'], 'biocyc': ['META:TRANS-RXN-225', 'META:TRANS-RXN-224'], 'metanetx.reaction': ['MNXR101367'], 'sabiork': ['13793'], 'sbo': 'SBO:0000627', 'seed.reaction': ['rxn10967', 'rxn08868']}	
EX_nh4_e	Ammonia exchange	{'nh4_e': -1.0}	-1000.0	1000.0		Extracellular exchange	{'original_bigg_ids': ['EX_nh4_e']}	{'bigg.reaction': ['EX_nh4_e'], 'biocyc': ['META:TRANS-RXN0-206', 'META:RXN-9615', 'META:TRANS-RXN0-544'], 'metanetx.reaction': ['MNXR101950'], 'reactome.reaction': ['R-CEL-444416', 'R-SSC-444416', 'R-DDI-444416', 'R-MMU-444416', 'R-DRE-444416', 'R-GGA-444416', 'R-CFA-444416', 'R-HSA-444416', 'R-XTR-444416', 'R-BTA-444416', 'R-RNO-444416', 'R-TGU-444416', 'R-DME-444416'], 'rhea': ['28749', '28748', '28750', '28747'], 'sabiork': ['11683'], 'sbo': 'SBO:0000627', 'seed.reaction': ['rxn13364', 'rxn09835', 'rxn05466', 'rxn08987', 'rxn08986', 'rxn09736']}	
EX_o2_e	O2 exchange	{'o2_e': -1.0}	-1000.0	1000.0		Extracellular exchange	{'original_bigg_ids': ['EX_o2_e']}	{'bigg.reaction': ['EX_o2_e'], 'biocyc': ['META:TRANS-RXN0-474'], 'metanetx.reaction': ['MNXR102090'], 'sbo': 'SBO:0000627', 'seed.reaction': ['rxn09641', 'rxn05468', 'rxn09031', 'rxn09032', 'rxn09734']}	
EX_pi_e	Phosphate exchange	{'pi_e': -1.0}	-1000.0	1000.0		Extracellular exchange	{'original_bigg_ids': ['EX_pi_e']}	{'bigg.reaction': ['EX_pi_e'], 'biocyc': ['META:TRANS-RXN0-470'], 'metanetx.reaction': ['MNXR102871'], 'rhea': ['32824', '32826', '32825', '32823'], 'sabiork': ['10985'], 'sbo': 'SBO:0000627', 'seed.reaction': ['rxn10838', 'rxn09722', 'rxn09121', 'rxn13178']}	
